TCCE,Subprojeto,Nome do Projeto
TCCE - 2/2020,Subprojeto 01,"Caracterização e regionalização dos terrenos cársticos, em rochas carbonáticas, no Estado da Bahia"
TCCE - 2/2020,Subprojeto 02,Edição do Curso de Espeleologia e Licenciamento Ambiental do Instituto Chico Mendes
TCCE - 2/2020,Subprojeto 03,Análise de metodologias para definição de relevância e impactos sobre a fauna subterrânea
TCCE - 2/2020,Subprojeto 04,Repositório institucional de publicações técnicas e científicas do Instituto Chico Mendes
TCCE - 2/2020,Subprojeto 05,Introdução às práticas de conservação e recuperação ambiental em cavernas turísticas
TCCE - 2/2020,Subprojeto 06,Implementação dos planos de manejo espeleológicos das grutas do castelo e lapão
TCCE - 2/2020,Subprojeto 07,"Articulação CANIE, SISBIO e CNC (Sprints/Aplicativo para catalogação de cavernas)"
TCCE - 2/2020,Subprojeto 08,Modelagem 3D de cavidades naturais subterrâneas
TCCE - 2/2020,Subprojeto 09,Ampliação da pesquisa e conservação do patrimônio espeleológico no Nordeste brasileiro
TCCE - 2/2020,Subprojeto 10,Ampliação da Pesquisa e Conservação de Morcegos Brasileiros
TCCE - 2/2020,Subprojeto 11,Divulgação de material audiovisual sobre as cavernas e os ambientes cársticos do Brasil
TCCE - 2/2020,Subprojeto 12,Implantação do turismo espeleológico no Parque Nacional da Furna Feia/RN
TCCE - 2/2020,Subprojeto 13,Pró-Cavernas
TCCE - 2/2020,Subprojeto 13.1,Prospecção e topografia de cavernas na porção norte da Serra de Baldim
TCCE - 2/2020,Subprojeto 13.2,Atualização e adequação do cadastro das informações espeleológicas do município de Rio Branco do Sul - PR
TCCE - 2/2020,Subprojeto 13.3,Vale do Rio Gameleira – Redescobertas Espeleológicas no P.A. Gameleira e Entorno – Flores de Goiás/GO
TCCE - 2/2020,Subprojeto 13.4,"CAVERNAS DA SERRA NEGRA: Prospecção, exploração, topografia, mapeamento, levantamento faunístico e avaliação arqueológica das cavidades naturais do Parque Estadual da Serra Negra da Mantiqueira, MG, e áreas do entorno"
TCCE - 2/2020,Subprojeto 13.5,"Topografia e cadastro das Grutas: Barrigudas, Urubus, Salitre e Xiranha, Localizadas no Morro das Araras – Ituaçu-Bahia"
TCCE - 2/2020,Subprojeto 13.6,"O GRANDE ROTEIRO DE PETER LUND – PART II: As cavernas não visitadas por Lund, porém reveladas pelo projeto"
TCCE - 2/2020,Subprojeto 13.7,Prospecção e mapeamento de cavernas na Serra do Itaqueri – SP
TCCE - 2/2020,Subprojeto 14,Cursos de capacitação para guias e condutores em espeleoturismo
